,code,Area,Pct_Remain,Pct_Leave,Region,ResidentAge30to44share,ResidentAge45to59share,ResidentAge60plusshare,median_hourly_pay2005,median_hourly_pay_growth,umemployment_rate_aps,EU_2001Migrantshare,NONEU_2001Migrantshare,Leave?,Result
99,E07000067,Braintree,38.87,61.13,East,0.23269203126063898,0.20698446803198692,0.19562865508136693,11.3,0.2884955752212389,3.0,0.009252604422790307,0.02389940913458265,1,leave
100,E07000068,Brentwood,40.85,59.15,East,0.22087180086478905,0.2068920182306883,0.23837209302325582,17.38,0.14787111622554663,5.1,0.012606637840364613,0.04115052004207082,1,leave
101,E07000069,Castle Point,27.3,72.7,East,0.20463467578052835,0.22340892296323664,0.22883567337890265,11.99,0.20517097581317756,6.2,0.005646129687788657,0.01691529650840569,1,leave
102,E07000070,Chelmsford,47.17,52.83,East,0.23062035244983192,0.20399561984312928,0.19403203626362434,13.28,0.15361445783132538,3.6,0.010944025669756545,0.03388255067739635,1,leave
103,E07000071,Colchester,46.4,53.6,East,0.22196333667103135,0.19359290354052736,0.19316927263857867,12.22,0.06710310965630102,2.0,0.02526380651621351,0.04509101645741868,1,leave
104,E07000072,Epping Forest,37.31,62.69,East,0.22836156696664903,0.20616066701958707,0.2189154314452091,13.57,0.23065585851142217,4.2,0.011365140285865537,0.04488155108523028,1,leave
105,E07000073,Harlow,31.9,68.1,East,0.24192565508836075,0.16956124314442414,0.18963284582571602,10.21,0.21449559255631728,7.2,0.009445460085313833,0.04019398740605322,1,leave
106,E07000074,Maldon,37.42,62.58,East,0.22304688814837254,0.2251842875896193,0.2075970244706991,12.24,0.2843137254901961,9.6,0.007876401090578612,0.02103739607526339,1,leave
107,E07000075,Rochford,33.39,66.61,East,0.21805603332951115,0.21005491215329536,0.22990482742804724,13.6,0.1823529411764705,7.6,0.006892685599255947,0.018117188395826166,1,leave
108,E07000076,Tendring,30.5,69.5,East,0.17870058250745277,0.19671716989439797,0.3255040097012394,10.0,0.18000000000000008,6.8,0.010054930380614845,0.019120969546481497,1,leave
109,E07000077,Uttlesford,49.32,50.68,East,0.22962898500275578,0.22239143677660778,0.20327502683259363,12.81,0.22482435597189687,5.0,0.014475096452295999,0.03698546688712906,1,leave
110,E07000078,Cheltenham,56.17,43.83,South West,0.2229372892294547,0.1791151954768982,0.2193195349640497,11.77,0.1962616822429907,2.0,0.015234563187986874,0.046821739248997844,0,remain
111,E07000079,Cotswold,51.1,48.9,South West,0.21370807206131184,0.21640788295013436,0.25322235493182044,11.66,0.19725557461406523,3.3,0.013623469692445506,0.03700109485418533,0,remain
112,E07000080,Forest of Dean,41.42,58.58,South West,0.2108099322347528,0.2176364682053462,0.22957665474731814,10.52,0.25760456273764265,3.8,0.008614438248605936,0.01635367957790503,1,leave
113,E07000081,Gloucester,41.5,58.5,South West,0.24213495927560633,0.17847749920371297,0.19373890885926195,9.32,0.31545064377682397,6.7,0.010692997224370933,0.04775902079446694,1,leave
114,E07000082,Stroud,54.61,45.39,South West,0.21714026209939016,0.21653784129455597,0.2286604014902964,10.77,0.23676880222841235,3.0,0.011381119205175257,0.027247956403269755,0,remain
115,E07000083,Tewkesbury,46.75,53.25,South West,0.22259014462404292,0.2106930174726785,0.23330933839408416,11.22,0.3172905525846701,4.7,0.012551534585432891,0.02591453438911066,1,leave
116,E07000084,Basingstoke and Deane,48.1,51.9,South East,0.24889724918563572,0.20229660555930604,0.16952540750984774,12.44,0.24839228295819935,4.2,0.014694605205377098,0.042235520046141846,1,leave
117,E07000085,East Hampshire,50.52,49.48,South East,0.22651316873181176,0.21360067353624834,0.20965645990812087,12.78,0.20500782472613469,7.8,0.017442392517890808,0.042709153137983416,0,remain
118,E07000086,Eastleigh,47.55,52.45,South East,0.23426215255360724,0.2006042920228288,0.1949229140304212,11.14,0.2791741472172351,2.0,0.012171921941309644,0.03243550344756346,1,leave
119,E07000087,Fareham,44.9,55.1,South East,0.22918769737999758,0.20697926410254036,0.22748363077322023,11.39,0.2712906057945566,6.2,0.010909730775998593,0.03250692277059003,1,leave
120,E07000088,Gosport,36.14,63.86,South East,0.22875089969246876,0.1756199699011974,0.2065955636982268,9.82,0.36863543788187364,5.8,0.011058038343257214,0.03080547013021004,1,leave
121,E07000089,Hart,52.4,47.6,South East,0.24117118735405066,0.2153044727860607,0.1778935393090234,14.41,0.3053435114503816,2.5,0.021316088856954674,0.04788934794323693,0,remain
122,E07000090,Havant,37.64,62.36,South East,0.21010877286070057,0.20030124348518172,0.24476033171015585,10.29,0.2789115646258505,4.2,0.010569196142029457,0.026992100916567535,1,leave
123,E07000091,New Forest,42.24,57.76,South East,0.19944959871494292,0.2091879218808133,0.2837519414637603,10.43,0.2866730584851391,4.3,0.012697025352711553,0.02997679101877388,1,leave
124,E07000092,Rushmoor,41.79,58.21,South East,0.25342081835866664,0.16860650422587842,0.15343950234648907,10.88,0.1948529411764705,3.7,0.0244320617231033,0.049259784364799365,1,leave
125,E07000093,Test Valley,48.06,51.94,South East,0.23425105417983444,0.2107540004189397,0.19955191664921085,11.87,0.2957034540859311,2.3,0.01960820028961485,0.03552790958187994,1,leave
126,E07000094,Winchester,58.93,41.07,South East,0.21341702262595363,0.20743877189382776,0.22133517375165546,14.58,0.16255144032921806,5.0,0.019268433716961072,0.0472664192050139,0,remain
127,E07000095,Broxbourne,33.74,66.26,East,0.23384336159165575,0.19228295081213959,0.196487237806419,12.29,0.24735557363710342,3.2,0.023215475452018287,0.0389643209961633,1,leave
128,E07000096,Dacorum,49.33,50.67,East,0.24270132584416432,0.1946966233426948,0.19548037358761675,12.97,0.1819583654587509,2.1,0.013258441643263013,0.04674925072025196,1,leave
129,E07000098,Hertsmere,49.16,50.84,East,0.23368978295394388,0.19328745367919534,0.20689253573319216,13.58,0.07879234167893964,6.1,0.017427210164107993,0.07520381154049761,1,leave
130,E07000099,North Hertfordshire,54.37,45.63,East,0.2389485749478222,0.19487973449207924,0.20730831080849899,12.48,0.3108974358974358,4.6,0.015439490881718958,0.053341088719334864,0,remain
131,E07000102,Three Rivers,48.73,51.27,East,0.22935979142526072,0.20293791039011203,0.21258207802240248,14.12,0.10198300283286128,3.0,0.01572759752800309,0.07360467361915797,1,leave
132,E07000103,Watford,49.73,50.27,East,0.2559390913880039,0.16874043599327698,0.1731681007450518,13.8,0.17391304347826075,3.3,0.02126031658430123,0.09515089180443018,1,leave
133,E07000105,Ashford,40.57,59.43,South East,0.2256942753333788,0.20055327729127906,0.21171623109067708,11.11,0.22772277227722784,5.4,0.013997525837465054,0.034959721802826776,1,leave
134,E07000106,Canterbury,48.96,51.04,South East,0.18823459838258993,0.1857286476736794,0.24333594523869365,11.95,0.25439330543933064,10.7,0.022021319061488194,0.04617897958278508,1,leave
135,E07000107,Dartford,35.78,64.22,South East,0.2413427849751487,0.1796393942568472,0.19130262713738636,11.49,0.2915578764142732,4.8,0.008741604683917078,0.041321833059794436,1,leave
136,E07000108,Dover,37.85,62.15,South East,0.20665417057169636,0.2017099248321634,0.2417229309718264,10.76,0.20446096654275103,5.6,0.016831474857984433,0.027953636937436643,1,leave
137,E07000109,Gravesham,34.62,65.38,South East,0.22551897782003197,0.19299601951586448,0.20363153880710846,11.84,0.14020270270270271,9.7,0.007271435586155019,0.060971405288506746,1,leave
138,E07000110,Maidstone,41.25,58.75,South East,0.22391830037136196,0.2104744220859602,0.20701989233382273,11.27,0.24844720496894418,4.4,0.013429484411434494,0.033163485620519906,1,leave
139,E07000111,Sevenoaks,45.62,54.38,South East,0.2187457115411006,0.21648597959837154,0.2258634097250812,14.83,0.0869858395144977,4.2,0.014116463107817575,0.041617492337953435,1,leave
140,E07000112,Shepway,37.75,62.25,South East,0.20561524553710592,0.1977077661630541,0.2565826388744571,10.35,0.30917874396135275,3.0,0.01757102184168416,0.0401712421288888,1,leave
141,E07000113,Swale,37.54,62.46,South East,0.22134184575044177,0.20021823926515256,0.2000798039103916,10.1,0.3069306930693069,4.8,0.009120446901898192,0.021775066978281937,1,leave
142,E07000114,Thanet,36.15,63.85,South East,0.19145711985604016,0.1908415021073069,0.27140060930372056,9.43,0.1654294803817604,4.6,0.011554671591608657,0.03158592603115973,1,leave
143,E07000115,Tonbridge and Malling,44.3,55.7,South East,0.23491786056284342,0.20270358215338274,0.20173668894859662,12.54,0.3054226475279109,3.3,0.010580042952371213,0.030708156302005372,1,leave
144,E07000116,Tunbridge Wells,54.89,45.11,South East,0.22585792559838508,0.20076900893972893,0.21211189080073056,13.1,0.1862595419847328,3.8,0.017331538979140634,0.047130635393636454,0,remain
145,E07000117,Burnley,33.39,66.61,North West,0.21771905921243662,0.1893636505773827,0.1978847914944942,9.35,0.15401069518716573,5.7,0.006298720153670903,0.044292064059324114,1,leave
146,E07000118,Chorley,43.17,56.83,North West,0.23142092006889067,0.2161395334946092,0.1933418948919352,10.44,0.30651340996168597,3.4,0.0061822417346115936,0.017690569343647024,1,leave
147,E07000119,Fylde,43.04,56.96,North West,0.20885859841293689,0.20284906510783016,0.2855757542647199,11.35,0.13039647577092514,3.3,0.012360517366185448,0.022399169591761477,1,leave
148,E07000120,Hyndburn,33.81,66.19,North West,0.22044026700696967,0.18550603710611563,0.20012025130067734,8.83,0.24235560588901478,5.1,0.00622116422891921,0.03975655246883283,1,leave
149,E07000121,Lancaster,48.92,51.08,North West,0.20183849336141105,0.18088474692713233,0.2271831175231865,10.79,0.1825764596848935,3.2,0.011455112982959212,0.02535955912003226,1,leave
150,E07000122,Pendle,36.85,63.15,North West,0.21024560774471138,0.1936513983506633,0.19958990677662244,9.05,0.2817679558011048,4.8,0.00657717820007171,0.06909958766583005,1,leave
151,E07000123,Preston,46.69,53.31,North West,0.21894887875772373,0.17031157189913063,0.19164101733354932,9.65,0.09533678756476682,5.2,0.009565465583609111,0.07174870596221641,1,leave
152,E07000124,Ribble Valley,43.61,56.39,North West,0.2213306152705708,0.21727205337286878,0.2289844329132691,11.37,0.21196130167106422,6.8,0.007190511489992587,0.01795774647887324,1,leave
153,E07000125,Rossendale,39.32,60.68,North West,0.22625357947968075,0.20304027295436544,0.19021507341741303,9.96,0.2008032128514056,7.6,0.006138426856759885,0.024568939255468228,1,leave
154,E07000126,South Ribble,41.44,58.56,North West,0.2257309828915825,0.2080063927907805,0.20870921466875908,10.66,0.15947467166979354,3.9,0.006806781749737645,0.018244485736566955,1,leave
155,E07000127,West Lancashire,44.69,55.31,North West,0.21437930207237632,0.2088523501079555,0.2136688257764491,10.4,0.24038461538461536,4.4,0.005979073243647235,0.015362896528815811,1,leave
156,E07000128,Wyre,36.23,63.77,North West,0.19892442576076047,0.19664261773561326,0.284175045920203,10.66,0.20356472795497185,7.4,0.006854892158533583,0.014533507546062224,1,leave
157,E07000129,Blaby,40.53,59.47,East Midlands,0.2390639542614014,0.20292071089837344,0.2029428710721092,11.4,0.20263157894736847,3.3,0.007080175508575987,0.037362052918494884,1,leave
158,E07000130,Charnwood,46.19,53.81,East Midlands,0.21420938082391733,0.19588562640914364,0.19549465014140308,10.31,0.2754607177497575,1.8,0.011813999556893563,0.06111610691897668,1,leave
159,E07000131,Harborough,49.25,50.75,East Midlands,0.23562219987199415,0.21872020271947126,0.20751315978526366,11.76,0.2993197278911564,2.7,0.008829791402709022,0.02425580271424653,1,leave
160,E07000132,Hinckley and Bosworth,39.67,60.33,East Midlands,0.22591146483458324,0.21986998332351385,0.21158166984551782,11.15,0.11569506726457392,3.2,0.006530791583866748,0.01902317731997883,1,leave
161,E07000133,Melton,41.89,58.11,East Midlands,0.2329001796682405,0.215184055488238,0.2125934901600301,10.62,0.10546139359698692,4.9,0.010842769397902477,0.022395855095474867,1,leave
162,E07000134,North West Leicestershire,39.3,60.7,East Midlands,0.23024923102113376,0.21209782112908318,0.21023823725483318,10.35,0.1971014492753624,3.5,0.006151830929908892,0.013578470930844532,1,leave
163,E07000135,Oadby and Wigston,45.42,54.58,East Midlands,0.21505511246527467,0.19211398870866564,0.22444663500313647,10.4,0.10769230769230762,5.5,0.00883591719688144,0.09303701048481047,1,leave
164,E07000136,Boston,24.44,75.56,East Midlands,0.20188340807174887,0.20737219730941703,0.2540269058295964,8.53,0.11137162954279028,6.2,0.008878923766816144,0.019354260089686097,1,leave
165,E07000137,East Lindsey,29.35,70.65,East Midlands,0.1881300451524374,0.21579645373216708,0.28951221568913044,8.59,0.28987194412107103,10.1,0.008363549947488252,0.015699862779519652,1,leave
166,E07000138,Lincoln,43.06,56.94,East Midlands,0.21851743676616625,0.16840936970617443,0.19685729306618377,9.47,0.2893347412882788,4.9,0.015246217652900287,0.026625386996904025,1,leave
167,E07000139,North Kesteven,37.74,62.26,East Midlands,0.2240172721858249,0.20384157236450268,0.24051306049519272,9.26,0.4092872570194386,4.7,0.015208882838424233,0.022334723049434187,1,leave
168,E07000140,South Holland,26.41,73.59,East Midlands,0.1996811374506678,0.20919474138156346,0.27969734194087975,8.62,0.1983758700696057,3.2,0.011970413737225896,0.018399937272941116,1,leave
169,E07000141,South Kesteven,40.07,59.93,East Midlands,0.22429322392461054,0.2078338355022758,0.21456503622027054,10.33,0.1268151016456922,7.3,0.014191614847105584,0.02544233604718251,1,leave
170,E07000142,West Lindsey,38.18,61.82,East Midlands,0.20901716657234484,0.22097717411809092,0.240445199019053,9.49,0.36354056902002096,4.0,0.010488587059045464,0.016650946362321575,1,leave
171,E07000143,Breckland,35.78,64.22,East,0.20450015648421158,0.20494490108550628,0.24904050470276237,8.8,0.19772727272727253,4.2,0.013638834439704163,0.03517600355795681,1,leave
172,E07000144,Broadland,45.63,54.37,East,0.21916582990895514,0.2129555407423658,0.25209892585623517,9.6,0.30208333333333337,2.2,0.009020107498755411,0.020588458650105897,1,leave
173,E07000145,Great Yarmouth,28.5,71.5,East,0.2002532760709173,0.20628785376059905,0.2535183349851338,8.53,0.30246189917936694,4.3,0.006838453914767096,0.01903975333113093,1,leave
174,E07000146,King's Lynn and West Norfolk,33.6,66.4,East,0.2014112083933651,0.20361298902803945,0.2740773578632384,8.88,0.32770270270270246,8.3,0.010129668624625957,0.029982636964793676,1,leave
175,E07000147,North Norfolk,41.09,58.91,East,0.17819316541643795,0.21555772397389766,0.32121729584680125,8.14,0.30958230958230953,4.0,0.008812587668475941,0.018977048647110244,1,leave
176,E07000148,Norwich,56.24,43.76,East,0.21039901275195394,0.16619498148909914,0.2099794323323735,9.51,0.20294426919032596,3.4,0.01637186343068696,0.04027972027972028,0,remain
177,E07000149,South Norfolk,48.31,51.69,East,0.207497064402493,0.22243699756119592,0.2520910486857556,10.18,0.281925343811395,3.5,0.00944810766868395,0.02291572577002981,1,leave
178,E07000150,Corby,35.75,64.25,East Midlands,0.23660059427539776,0.18490239590777446,0.1900740963628841,8.63,0.26998841251448435,9.1,0.009948471057283635,0.02661074961447324,1,leave
179,E07000151,Daventry,41.4,58.6,East Midlands,0.23920487764135973,0.21843592527631617,0.18264706701188785,12.84,0.0038940809968847907,4.5,0.010022550739163118,0.025738467106545284,1,leave
180,E07000152,East Northamptonshire,41.24,58.76,East Midlands,0.23129980404964076,0.20868713259307642,0.19630306988896146,11.39,0.20983318700614562,5.3,0.010764206401045069,0.028504245591116917,1,leave
181,E07000153,Kettering,39.01,60.99,East Midlands,0.22787253799912027,0.2011754068716094,0.2013586823713406,9.45,0.37248677248677264,6.3,0.01400224817946337,0.031144616587654564,1,leave
182,E07000154,Northampton,41.62,58.38,East Midlands,0.23305803823961987,0.1814633494122124,0.177606475434284,10.33,0.16844143272023235,1.7,0.012105441792057926,0.05896388937456932,1,leave
183,E07000155,South Northamptonshire,45.66,54.34,East Midlands,0.24414513260943588,0.22298311326346587,0.1855649300694891,12.94,0.21483771251932005,2.2,0.010997187645819934,0.031843920648733176,1,leave
184,E07000156,Wellingborough,37.58,62.42,East Midlands,0.2264785780278272,0.2029950771521946,0.19705180711261877,9.76,0.22745901639344268,6.3,0.009611274286738648,0.05839848867193425,1,leave
185,E07000163,Craven,47.17,52.83,Yorkshire and The Humber,0.20512868332711676,0.2174561730697501,0.2601454681089146,9.57,0.17763845350052238,5.8,0.008131294293174189,0.019731443491234613,1,leave
186,E07000164,Hambleton,46.34,53.66,Yorkshire and The Humber,0.22150491612274256,0.22053001391019011,0.2345353164271023,10.57,0.1040681173131504,4.3,0.012673728763181985,0.017381793106728015,1,leave
